date,pressure(hPa),temp_detector_nc1(C) ,rh(%),temp_sensor(C),k96_lpl_raw,k96_spl_raw,k96_mpl_raw,k96_ch4(ppm) ,k96_h2o(ppm) ,ref_h2o(ppm),ref_ch4(ppm),ref_co2(ppm)
6/21/2022 17:38,1008.2,43.95,17.767,43.745,439225.324,747549.257,266775.886,133.8548573,22471.97604,22211.667,5.886,452.3
6/21/2022 17:39,1008.179,43.95,17.718,43.74,439240.752,747478.457,266886.543,133.0976043,22402.14321,22136.066,5.44,448.885
6/21/2022 17:40,1008.1,43.95,17.725,43.74,439222.524,747478.686,266839.61,133.9923247,22431.74858,22170,6.452,458.533
6/21/2022 17:41,1008.1,43.95,17.713,43.74,439211.429,747493.219,266872.543,134.5371443,22410.97244,22110,6.371,458.417
6/21/2022 17:42,1008.1,43.95,17.715,43.74,439215.6,747493.343,266854.057,134.3323078,22422.63339,22157.377,6.459,459.557
6/21/2022 17:43,1008.1,43.95,17.708,43.74,439240.99,747504.019,266887.095,133.0859251,22401.79513,22151.667,5.678,452.683
6/21/2022 17:44,1008.1,43.95,17.618,43.746,439253.676,747618.105,267077.438,132.4635053,22281.92174,21985,5.327,448.983
6/21/2022 17:45,1008.084,43.95,17.507,43.748,439259.19,747595.8,267284.61,132.1930376,22151.80399,21875.41,5.401,450
6/21/2022 17:46,1008,43.95,17.497,43.742,439257.552,747565.676,267250.724,132.2733789,22173.0614,21971.667,5.248,448.983
6/21/2022 17:47,1008,43.95,17.533,43.74,439244.59,747518.219,267164.448,132.9092741,22227.22874,21986.667,5.881,455
6/21/2022 17:48,1008,43.949,17.566,43.74,439234.648,747455.61,267100.743,133.3971683,22267.26623,22034.426,6.304,459.279
6/21/2022 17:49,1008.047,43.94,17.599,43.74,439214.667,747416.181,267038.743,134.3781251,22306.26568,22063.333,6.7,463.25
6/21/2022 17:50,1008.173,43.944,17.604,43.74,439221.162,747451.133,267031.314,134.0591966,22310.94091,22046.667,6.564,461.633
6/21/2022 17:51,1008.318,43.95,17.561,43.743,439240.238,747556.495,267114.838,133.1228277,22258.40476,21968.852,5.646,453.459
6/21/2022 17:52,1008.448,43.95,17.549,43.75,439251.667,747608.095,267119.419,132.5620592,22255.52507,22013.333,5.594,453.45
6/21/2022 17:53,1008.529,43.95,17.566,43.743,439253.162,747565.629,267055.79,132.4887197,22295.53942,22100,5.161,449.633
6/21/2022 17:54,1008.6,43.95,17.731,43.74,439240.619,747486.371,266691.219,133.1041309,22525.47835,22411.475,5.27,450.803
6/21/2022 17:55,1008.6,43.943,17.8,43.739,439228.933,747399.619,266625.362,133.6776876,22567.13698,22335,5.442,452.017
6/21/2022 17:56,1008.6,43.94,17.863,43.73,439203.114,747289.267,266517.752,134.9455623,22635.28722,22435,6.63,461.3
6/21/2022 17:57,1008.6,43.94,17.799,43.73,439219.867,747300.99,266727.362,134.1227813,22502.63152,22232.787,6.282,456.016
6/21/2022 17:58,1008.6,43.94,17.798,43.73,439214.543,747272.286,266671.295,134.3842145,22538.07758,22355,6.632,456.283
6/21/2022 17:59,1008.6,43.94,17.82,43.73,439214.152,747328.152,266637.781,134.4034159,22559.27834,22346.667,7.06,456.1
6/21/2022 18:00,1008.6,43.94,17.829,43.73,439207.914,747320.59,266616.095,134.7097833,22573.00192,22391.803,7.018,454.492
6/21/2022 18:01,1008.6,43.94,17.902,43.73,439182.171,747301.867,266436.924,135.9746635,22686.54171,22528.333,7.375,456.85
6/21/2022 18:02,1008.6,43.94,18.007,43.731,439150.924,747261.314,266211.448,137.511198,22829.81708,22676.667,8.135,464.217
6/21/2022 18:03,1008.6,43.94,18.128,43.731,439124.657,747297.514,265945.133,138.8038783,22999.60616,22809.836,8.437,474.623
6/21/2022 18:04,1008.643,43.94,18.146,43.739,439117.886,747357.162,265950.029,139.1372528,22996.47921,22753.333,9.128,481.717
6/21/2022 18:05,1008.7,43.947,18.151,43.743,439101.076,747513.514,265908.248,139.9651747,23023.17027,22791.667,9.734,491.917
6/21/2022 18:06,1008.7,43.95,18.121,43.75,439153.781,747598.552,266019.619,137.370653,22952.05618,22698.361,7.384,471.475
6/21/2022 18:07,1008.771,43.955,18.05,43.75,439175.933,747673.381,266160.962,136.2813033,22861.95756,22621.667,7.194,467.467
6/21/2022 18:08,1008.8,43.959,18.032,43.75,439196.248,747650.838,266196.943,135.2828791,22839.04903,22638.333,6.121,458.167
6/21/2022 18:09,1008.8,43.95,18.041,43.746,439202.267,747533.771,266183.867,134.9871707,22847.37303,22683.333,5.629,454.833
6/21/2022 18:10,1008.8,43.948,18.052,43.738,439202.057,747402.952,266190.505,134.997487,22843.14719,22668.852,5.594,453.885
6/21/2022 18:11,1008.8,43.94,18.036,43.729,439214.676,747266.81,266278.981,134.3776831,22786.85837,22605,5.361,452.5
6/21/2022 18:12,1008.8,43.934,18.017,43.72,439213.99,747176.124,266324.124,134.4113716,22758.16414,22558.333,5.513,454.95
6/21/2022 18:13,1008.8,43.93,18.061,43.725,439211.552,747137.314,266219.857,134.5311035,22824.46585,22731.148,5.618,456.705
6/21/2022 18:14,1008.8,43.93,18.151,43.73,439199.305,747155.21,266002.876,135.1326851,22962.74033,22861.667,5.664,460.617
6/21/2022 18:15,1008.8,43.936,18.268,43.73,439174.533,747209.438,265742.876,136.3501301,23128.96259,23005,6.078,468.817
6/21/2022 18:16,1008.8,43.94,18.361,43.73,439159.829,747250.962,265568.581,137.0731693,23240.71773,23078.689,5.943,467.705
6/21/2022 18:17,1008.8,43.94,18.434,43.73,439157.914,747266.467,265457.276,137.1673572,23312.22138,23111.667,6.146,466.85
6/21/2022 18:18,1008.8,43.94,18.468,43.73,439147.01,747276.819,265425.971,137.7037583,23332.35129,23126.667,6.398,468.233
6/21/2022 18:19,1008.8,43.94,18.459,43.73,439135.971,747263.771,265473.952,138.2469659,23301.50174,23045.902,6.766,473.344
